Frame Number,Time (s),Temperature (deg C)
0,0.00,295.5
1000,33.30,311.0
1001,33.33,311.0
1002,33.37,311.0
1003,33.40,311.0
1004,33.43,311.0
1005,33.47,311.0
1006,33.50,311.0
1007,33.53,311.0
1008,33.57,311.0
1009,33.60,311.0
100,3.30,295.5
1010,33.63,311.0
1011,33.67,311.0
1012,33.70,311.0
1013,33.73,311.0
1014,33.77,311.0
1015,33.80,311.0
1016,33.83,311.0
1017,33.87,311.0
1018,33.90,311.0
1019,33.93,311.0
101,3.33,295.5
1020,33.97,311.0
1021,34.00,311.0
1022,34.03,311.0
1023,34.07,311.0
1024,34.10,311.0
1025,34.13,311.0
1026,34.17,311.0
1027,34.20,311.0
1028,34.23,311.0
1029,34.27,311.0
102,3.37,295.5
1030,34.30,311.0
1031,34.33,311.0
1032,34.37,311.0
1033,34.40,311.0
1034,34.43,311.0
1035,34.47,311.0
1036,34.50,311.0
1037,34.53,311.0
1038,34.57,311.0
1039,34.60,311.0
103,3.40,295.5
1040,34.63,311.0
1041,34.67,311.0
1042,34.70,311.0
1043,34.73,311.0
1044,34.77,311.0
1045,34.80,311.0
1046,34.83,311.0
1047,34.87,311.0
1048,34.90,310.9
1049,34.93,310.9
104,3.43,295.5
1050,34.97,310.9
1051,35.00,310.9
1052,35.03,310.9
1053,35.07,310.9
1054,35.10,310.9
1055,35.13,310.9
1056,35.17,310.9
1057,35.20,310.9
1058,35.23,310.9
1059,35.27,310.9
105,3.47,295.5
1060,35.30,310.9
1061,35.33,310.9
1062,35.37,310.9
1063,35.40,310.9
1064,35.43,310.9
1065,35.47,310.9
1066,35.50,310.9
1067,35.53,310.9
1068,35.57,310.9
1069,35.60,310.9
106,3.50,295.5
1070,35.63,310.9
1071,35.67,310.9
1072,35.70,310.9
1073,35.73,310.9
1074,35.77,310.9
1075,35.80,310.9
1076,35.83,310.9
1077,35.87,310.9
1078,35.90,310.9
1079,35.93,310.9
107,3.53,295.5
1080,35.97,310.9
1081,36.00,310.9
1082,36.03,310.9
1083,36.07,310.9
1084,36.10,310.9
1085,36.13,310.9
1086,36.17,310.9
1087,36.20,310.9
1088,36.23,310.9
1089,36.27,310.9
108,3.57,295.5
1090,36.30,310.9
1091,36.33,310.9
1092,36.37,310.9
1093,36.40,310.9
1094,36.43,310.9
1095,36.47,310.9
1096,36.50,310.9
1097,36.53,310.9
1098,36.57,310.9
1099,36.60,310.9
109,3.60,295.5
10,0.30,295.5
1100,36.63,310.9
1101,36.67,310.9
1102,36.70,310.9
1103,36.73,310.9
1104,36.77,310.9
1105,36.80,310.9
1106,36.83,310.9
1107,36.87,310.9
1108,36.90,310.9
1109,36.93,310.9
110,3.63,295.5
1110,36.97,310.9
1111,37.00,310.9
